username,profile_url,display_name,description,location,followers_count,following_count,statuses_count,created_at,predicted_class,confidence_level,prob_0,prob_1,prob_2,uncertainty_score,target_population,locals_vs_diaspora,person_vs_organization,comments
alexp_ecb,https://x.com/alexp_ecb,Alex pr 🇳🇱,sou sofredor de  @ecbahia  e  @chelseaFC #forarezende,"Salvador, Brasil",184.0,1196.0,2822.0,January 2020,1,0.3348,0.3332,0.3348,0.332,0.6652,,,,
alpsina89,https://x.com/alpsina89,Sina alp,,,87.0,651.0,40.0,April 2024,0,0.3354,0.3354,0.3345,0.3301,0.6646,,,,
ak1980777,https://x.com/ak1980777,五郎人格,,,0.0,46.0,58.0,March 2024,2,0.3371,0.3339,0.329,0.3371,0.6629,,,,
7usiy,https://x.com/7usiy,7,,,347.0,25.0,66.0,December 2022,2,0.3373,0.3284,0.3343,0.3373,0.6627,,,,
alphard1black,https://x.com/alphard1black,Alphard (Taylor's Version),I salute you if you’re much too much to handle.,The Tortured Poets Department,4211.0,920.0,0.0,June 2020,0,0.3378,0.3378,0.3332,0.329,0.6622,,,,
alistai73159680,https://x.com/alistai73159680,Alistair Mckenzie,,,12.0,116.0,198.0,April 2022,0,0.3391,0.3391,0.3332,0.3277,0.6609,,,,
___tw1tt3r___,https://x.com/___tw1tt3r___,tw1tt3r,,,18.0,558.0,494.0,April 2022,0,0.3391,0.3391,0.3332,0.3277,0.6609,,,,
_hqaddomi,https://x.com/_hqaddomi,Hisham Qaddoumi,,,33.0,359.0,247.0,August 2022,0,0.3391,0.3391,0.3332,0.3277,0.6609,,,,
4freedom4iran,https://x.com/4freedom4iran,Freedom,,,18.0,214.0,682.0,September 2022,0,0.3391,0.3391,0.3332,0.3277,0.6609,,,,
__dokhtarak,https://x.com/__dokhtarak,Emily,,,13.0,184.0,75.0,August 2021,0,0.3391,0.3391,0.3332,0.3277,0.6609,,,,
al_firas999,https://x.com/al_firas999,Firas Al Mashhadani,,"Sulaymaniyah, Iraq",26.0,162.0,43.0,September 2025,0,0.3403,0.3403,0.3296,0.3301,0.6597,,,,
7_ndala,https://x.com/7_ndala,معتز بالله الجنوبي,,,15.0,92.0,17.0,November 2025,0,0.3407,0.3407,0.3292,0.3301,0.6593,,,,
aliabc1500,https://x.com/aliabc1500,Ali,,,58.0,203.0,8.0,September 2025,0,0.3407,0.3407,0.3292,0.3301,0.6593,,,,
alikarimdoost91,https://x.com/alikarimdoost91,علی کریمدوست پهمدانی,پیج اصلی علی کریمدوست پهمدانی,"Irani, Brasil",554.0,7490.0,4649.0,September 2025,1,0.3416,0.3225,0.3416,0.3359,0.6584,,,,
_irani_mohammad,https://x.com/_irani_mohammad,MhmmdShajarian,,,8.0,1774.0,58.0,December 2020,0,0.3417,0.3417,0.317,0.3412,0.6583,,,,
ali_geraei,https://x.com/ali_geraei,Mohammad Ali Geraei,"Greco-Roman Wrestler. 77 KG. Fighter Challenger. 2017 World Bronze Medalist. ""To Have Face is to Have Wings"" #Falcon on his way to 2020 Olympics","Iran, Shiraz",221.0,18.0,28.0,March 2018,1,0.3442,0.3373,0.3442,0.3184,0.6558,,,,
addh66,https://x.com/addh66,Azita Irani,,,14.0,122.0,0.0,July 2013,0,0.3443,0.3443,0.3252,0.3304,0.6557,,,,
afshinzare1,https://x.com/afshinzare1,Afshin Zare,Actor & Composer,Islamic Republic of Iran,3.0,97.0,13.0,July 2012,0,0.3447,0.3447,0.344,0.3112,0.6553,,,,
aliramez2,https://x.com/aliramez2,Aliramez,,,7.0,57.0,105.0,July 2014,1,0.3449,0.3419,0.3449,0.3133,0.6551,,,,
ahmdlkarim,https://x.com/ahmdlkarim,Ahmd Abd Lkarim,,,2.0,17.0,8.0,April 2017,0,0.345,0.345,0.3248,0.3301,0.655,,,,
a_nazari99,https://x.com/a_nazari99,A Nazari,"To Achieve Victory, One Must Plan",Islamic Republic of Iran,21.0,276.0,1.0,March 2020,2,0.3451,0.312,0.3429,0.3451,0.6549,,,,
alborznazariz,https://x.com/alborznazariz,Alborz Nazari,"Software Engineer | Seasonal CLI Wanderer  I'm about Games, Softwares, Sales, Analytics and Education.",Spain,147.0,310.0,1959.0,March 2021,0,0.3452,0.3452,0.3388,0.316,0.6548,,,,
abingdon_arms,https://x.com/abingdon_arms,The Abingdon Arms,"A destination village pub in Beckley, Oxford. Serving sensational locally sourced produced at a fair price! Pop in to see us","Beckley, Oxford",51.0,163.0,63.0,November 2019,0,0.3452,0.3452,0.3388,0.316,0.6548,,,,
alisakhravi80,https://x.com/alisakhravi80,Alisakhravi,لغتي هويتي الاحواز,Spain,18.0,333.0,4.0,May 2024,2,0.3452,0.3407,0.314,0.3452,0.6548,,,,
ahmedstv1,https://x.com/ahmedstv1,ahmedstv _احمد سبورت تيفي,Scout كشاف اللاعبين  اعلامي رياضي sports analyst To advertise products Garipadam2015@outlook.com My youtube channel,Iraq,385.0,41.0,102.0,August 2019,0,0.3453,0.3453,0.3294,0.3253,0.6547,,,,
34gwr77liku4hw8,https://x.com/34gwr77liku4hw8,احمد رمزي,,,18.0,450.0,4.0,June 2021,2,0.3453,0.3359,0.3187,0.3453,0.6547,,,,
abdollahram,https://x.com/abdollahram,Abdollah Ramezanzadeh,استادیار بازنشسته دانشکده حقوق و علوم سیاسی دانشگاه تهران.  مسئولیتی در قبال نظراتی که کاربران زیر توییت‌هایم می‌نویسند ندارم. Retweet is not endorsement,,0.0,1102.0,3497.0,April 2015,1,0.3453,0.3437,0.3453,0.311,0.6547,,,,
3ccmke,https://x.com/3ccmke,Third Coast Cinema,,"Milwaukee, WI",1.0,154.0,0.0,September 2025,2,0.3453,0.3357,0.319,0.3453,0.6547,,,,
3pm_est,https://x.com/3pm_est,R,,"New York, USA",1.0,85.0,0.0,December 2025,2,0.3453,0.3357,0.319,0.3453,0.6547,,,,
aa1915898,https://x.com/aa1915898,احمدعلام صيادالبحار,فنان,مصر,9.0,312.0,4.0,December 2024,2,0.3453,0.3357,0.319,0.3453,0.6547,,,,
akramipmp,https://x.com/akramipmp,Saeed Akrami,,,13.0,166.0,0.0,May 2025,2,0.3453,0.3359,0.3187,0.3453,0.6547,,,,
ahsan2026bs,https://x.com/ahsan2026bs,Muhammad Hassan (Ahsan),An Ordinary Caliph of Allah,"Piplan, Pakistan",1.0,72.0,4.0,November 2025,2,0.3453,0.3357,0.319,0.3453,0.6547,,,,
aliiiiinaderi8,https://x.com/aliiiiinaderi8,🌋Ali Naderi,,,18.0,645.0,0.0,July 2025,2,0.3453,0.3359,0.3187,0.3453,0.6547,,,,
aliabz429014,https://x.com/aliabz429014,Ali Abz,,,27.0,563.0,0.0,October 2024,2,0.3453,0.3359,0.3187,0.3453,0.6547,,,,
abusamer1990528,https://x.com/abusamer1990528,Samer,,,8.0,277.0,0.0,November 2023,2,0.3454,0.3309,0.3237,0.3454,0.6546,,,,
alir33al,https://x.com/alir33al,Ali,◉⃤,,0.0,70.0,0.0,March 2025,2,0.3454,0.3309,0.3237,0.3454,0.6546,,,,
abrahymahm53406,https://x.com/abrahymahm53406,احمد ابراهيم,,,1.0,70.0,0.0,November 2025,2,0.3454,0.3309,0.3237,0.3454,0.6546,,,,
aboliparande,https://x.com/aboliparande,aboliparande,,,1.0,53.0,0.0,December 2025,2,0.3454,0.3309,0.3237,0.3454,0.6546,,,,
aboalfazlm79456,https://x.com/aboalfazlm79456,aliiii,,,48.0,367.0,3.0,May 2024,2,0.3454,0.3254,0.3292,0.3454,0.6546,,,,
27484b,https://x.com/27484b,xcxcxc,,,0.0,495.0,0.0,January 2024,2,0.3454,0.3309,0.3237,0.3454,0.6546,,,,
alinazari42166,https://x.com/alinazari42166,Ali Nazari,,,4.0,75.0,0.0,December 2025,2,0.3454,0.3309,0.3237,0.3454,0.6546,,,,
abina310186,https://x.com/abina310186,H,,,0.0,590.0,0.0,September 2024,2,0.3454,0.3309,0.3237,0.3454,0.6546,,,,
abdulrahma74533,https://x.com/abdulrahma74533,Abdulrahman iphone,,,2.0,100.0,0.0,November 2025,2,0.3454,0.3309,0.3237,0.3454,0.6546,,,,
abdullahpa7203,https://x.com/abdullahpa7203,Abdullah palta,,,0.0,85.0,0.0,December 2025,2,0.3454,0.3309,0.3237,0.3454,0.6546,,,,
_atefehshams_,https://x.com/_atefehshams_,عاطفه شمس,روزنامه‌نگار,,4.0,50.0,0.0,August 2025,2,0.3454,0.3309,0.3237,0.3454,0.6546,,,,
abuzar42172607,https://x.com/abuzar42172607,abuzar,,,0.0,94.0,0.0,November 2022,2,0.3454,0.3309,0.3237,0.3454,0.6546,,,,
alirezapunteha,https://x.com/alirezapunteha,alireza punteha,,,4.0,311.0,0.0,November 2022,2,0.3454,0.3309,0.3237,0.3454,0.6546,,,,
alisakar030,https://x.com/alisakar030,Ali Şakar,,,6.0,164.0,0.0,December 2025,2,0.3454,0.3309,0.3237,0.3454,0.6546,,,,
abdollahia64050,https://x.com/abdollahia64050,Ashoo Abdollahi,,,3.0,64.0,0.0,November 2025,2,0.3454,0.3309,0.3237,0.3454,0.6546,,,,
abbasali690448,https://x.com/abbasali690448,abbas ali,,,0.0,65.0,0.0,December 2025,2,0.3454,0.3309,0.3237,0.3454,0.6546,,,,
42potatoesss,https://x.com/42potatoesss,Ishita Dasgupta,,,1.0,77.0,0.0,October 2023,2,0.3454,0.3309,0.3237,0.3454,0.6546,,,,
almlkzhyr76434,https://x.com/almlkzhyr76434,زهير الملك,,,8.0,116.0,0.0,December 2025,2,0.3454,0.3309,0.3237,0.3454,0.6546,,,,
amaeibahar30792,https://x.com/amaeibahar30792,Bahareh Amaei,,,1.0,83.0,0.0,July 2025,2,0.3454,0.3309,0.3237,0.3454,0.6546,,,,
a_fallahzadeh,https://x.com/a_fallahzadeh,Amir Fallahzadeh,,,1.0,222.0,1.0,June 2023,2,0.3454,0.3309,0.3237,0.3454,0.6546,,,,
4ltgmlpx61671,https://x.com/4ltgmlpx61671,Payton Brown 4LtgmLpx,,,3.0,195.0,0.0,November 2025,2,0.3454,0.3309,0.3237,0.3454,0.6546,,,,
alawamiaqe84264,https://x.com/alawamiaqe84264,Aqeela Alawami,,,8.0,130.0,4.0,January 2024,2,0.3454,0.3309,0.3237,0.3454,0.6546,,,,
___cfilm,https://x.com/___cfilm,🎞️,,,0.0,424.0,4.0,March 2023,2,0.3454,0.3309,0.3237,0.3454,0.6546,,,,
alian2025,https://x.com/alian2025,adele alian,,,1.0,58.0,0.0,May 2025,2,0.3454,0.3309,0.3237,0.3454,0.6546,,,,
aliazarids,https://x.com/aliazarids,Ali Azari,,,7.0,66.0,0.0,October 2025,2,0.3454,0.3309,0.3237,0.3454,0.6546,,,,
ahmedjamal41147,https://x.com/ahmedjamal41147,Ahmed Jamal,,,0.0,78.0,0.0,November 2025,2,0.3454,0.3309,0.3237,0.3454,0.6546,,,,
adriirov,https://x.com/adriirov,Adri,,,0.0,49.0,0.0,December 2025,2,0.3454,0.3309,0.3237,0.3454,0.6546,,,,
ahmadiaman84324,https://x.com/ahmadiaman84324,Amanllah Ahmadi,,,5.0,65.0,0.0,November 2025,2,0.3454,0.3309,0.3237,0.3454,0.6546,,,,
ajmaldashti17,https://x.com/ajmaldashti17,Ajmal Dashti,,,0.0,81.0,0.0,August 2025,2,0.3454,0.3309,0.3237,0.3454,0.6546,,,,
ahmadi_abb27030,https://x.com/ahmadi_abb27030,abbas ahmadi,,,9.0,191.0,0.0,April 2025,2,0.3454,0.3309,0.3237,0.3454,0.6546,,,,
