username,display_name,description,location,followers_count,following_count,statuses_count,created_at,target_population,locals_vs_diaspora,person_vs_organization,iteration_added
a_s_v_t_r,حــزامـ,اللَّهُمَّ لَا تَدَع لي أمْراً إِلَّا يَسَّرَتْهُ وَلَا حُلْماً إِلَّا حَقَّقَتَهُ,ID52159146623,389.0,943.0,,May 2024,2,2,2,2
ali_tavakoli_28,hopkinz,سر سری رد شو و زندگی کن.دقت دق ات میدهد.,shiraz_iran,90.0,128.0,1448.0,December 2012,1,1,1,2
adryn848,آدرین,,,14.0,539.0,0.0,May 2024,2,2,2,2
alexmarlow,Alex Marlow,"**BREAKING THE LAW** OUT NOW! 'The Alex Marlow Show,'  @BreitbartNews  EIC, 3x-NYT bestseller. “Alex knows it all.” -President Trump","Chappaquiddick, MA",,271.0,7396.0,January 2009,0,2,1,2
aaihs,AAIHS,AAIHS was founded to foster dialogue about #Black thought & culture. We publish the blog  @BlkPerspectives  (President:  @robgreeneII ):  bit.ly/2iEQ4uU,,,108.0,6145.0,May 2014,0,2,1,2
abogadasmx,Abogadas MX,Red de Liderazgo y Desarrollo Profesional para abogadas en México.,Mexico,4618.0,839.0,3107.0,March 2015,0,2,0,2
alirezasafarpo7,Alireza Safarpoor,AlirezaSFP,,7.0,122.0,77.0,August 2021,1,0,1,2
agolp,Armand Golpaygani,,"Paris, France",197.0,471.0,162.0,November 2009,0,2,1,2
aji_fellowships,Allbritton Journalism Institute,,,1029.0,20.0,26.0,February 2023,0,2,0,2
alltyf_,طيف سامي,,,,11.0,234.0,October 2022,0,2,1,2
alimeelad94,Mohammed Ali,,The Netherlands,89.0,305.0,1916.0,October 2017,0,2,1,2
allanmau1992,Allan Mau,,,27.0,560.0,14.0,May 2024,0,2,1,2
4noura,Noura Erakat,"Human Rights attorney | Professor| Author, Justice For Some | Justicia, Paz, Amor",,,2719.0,5587.0,November 2009,0,2,1,2
abdynal18132,Zain Al-Ameri,,,17.0,552.0,10.0,September 2025,0,2,1,2
ahwaz1925__,عربستان,ليس وطني دائما على حق ولكني لا استطيع ان امارس حقاً حقيقياً الا في وطني,,26.0,130.0,210.0,September 2024,1,2,1,2
abu_aqeel86,عبدالله الخالدي,,,0.0,16.0,4.0,September 2025,2,2,2,2
6njeli,اونجلیناجیلی,ماه پشت ابر نمیمونه تو خوب بمون، بلاخره آدم بدا یه جا رسوا میشن,İstanbul-Turkey,,164.0,5593.0,September 2018,0,2,1,2
abtc,American Bitcoin,Nasdaq: ABTC | Building America's Bitcoin infrastructure backbone,USA,,6.0,374.0,March 2025,0,2,0,2
afintl_,Afghanistan International - افغانستان اینترنشنال,اولین شبکه خبری بین‌المللی ۲۴ ساعته افغانستان The First 24/7 International News Channel for Afghanistan,"UK, London",,8.0,8.0,August 2021,0,2,2,2
abwmhdy75844,سجاد ابو مهدي,,,0.0,70.0,0.0,September 2025,2,2,2,2
a_soleimani_f,عارفه سلیمانی,خبرنگار,,14.0,93.0,27.0,May 2023,1,2,1,2
abdelmonim68330,Abdelmonim Elgak,,,0.0,15.0,1.0,November 2025,2,2,2,2
al_sharifzadeh,علی شریف زاده اردکانی,وكيل پایه یک دادگستری ،مدرس دانشگاه و عضو کانون وکلای مرکز,Tehran,4540.0,367.0,847.0,March 2020,1,1,1,2
alireza__ziyaei,Alireza Ziaee,,,0.0,45.0,0.0,December 2025,2,2,2,2
abdulzahraa_,عبدالزهراء عبدالحسين,Earnestly striving to achieve the honour of becoming one of the sincere slaves of Sayeda Fatima al-Zahraa (as).,جنة الخدام بين الحرمين,2430.0,366.0,5896.0,May 2019,0,2,1,2
0l8o0xgtjkorcjb,SaraThoreau,,,127.0,4554.0,0.0,September 2023,2,2,2,2
0pps__,Think,"@_Alignments ,",,22.0,159.0,18.0,August 2024,2,2,2,2
ajturk,Al Jazeera Türk,"Haber, analiz, görüş yazıları, belgeseller. Son dakika haberler ve canlı anlatım adresi:  @AJTCanli . İletişim için:  @AlJazeeraTurk .","Istanbul, Türkiye",,7.0,1357.0,January 2011,0,2,0,2
ahllam_music,ahllam,artist,,6758.0,2.0,45.0,September 2022,0,2,0,2
a_alirezabeigi,احمد علیرضابیگی,نماینده دوره دهم و یازدهم مردم تبریز، اسکو و آذرشهر در مجلس شورای اسلامی|استاندار اسبق آذربایجان شرقی t.me/ahmadalirezabe …,Islamic Republic of Iran,3823.0,30.0,427.0,December 2019,2,2,2,2
agakeruka71284,あがけるか,,,100.0,3464.0,0.0,September 2023,2,2,0,2
ahahistorians,American Historical Association,The American Historical Association is the largest professional organization serving historians in all fields and all professions.  historians.org/join,"Washington, D.C.",,2335.0,1311.0,September 2009,0,2,0,2
acrvir,acrvir,,,0.0,42.0,1.0,February 2021,2,2,2,2
abu_al_askary,ابو علي العسكري,المسؤول الأمني لكتائب حزب الله في العراق,Iraq,2697.0,0.0,4.0,August 2023,2,2,2,2
alietamedia,علی اعطا,‌کارشناسی‌ارشد پیوسته و دکتری معماری | عضو هیئت رییسه و سخنگوی شورای پنجم تهران | معمار | روزنامه‌نگار,Tehran,,1202.0,4615.0,October 2016,1,1,1,2
ajarabic,قناة الجزيرة,الجزيرة.. الرأي والرأي الآخر.. تابع أخبارنا العاجلة على  @AJABreaking,Qatar,,26.0,1349.0,April 2007,0,2,0,2
advisorbecki,"Rebecca Iacopelli, CFP®, MT","Helping women control and maximize their wealth  Senior Advisor at Barron’s Top 25 Firm  CFP®, Masters in Taxation  CFA Level III Candidate","Philadelphia, PA",10.0,27.0,56.0,June 2025,2,2,2,2
a2bdullah_,Abdullah_AL lime,,,0.0,13.0,0.0,December 2025,2,2,2,2
50uses,50 Uses For The Word Love Podcast,Comedian  @StephenTrumble  invites guests to chat about the varied multitudes of human feeling that in English all fall under the one umbrella term; Love.,"London, England",489.0,2753.0,396.0,January 2019,0,2,0,2
a8484aviv,אביב AVIV 🇮🇱,LIVE AND LET LIVE,ישראל,3028.0,7496.0,,June 2014,0,2,0,2
_starboy369,Starboy ⭐️,《دنیا همه هیچ و اهل دنیا همه هیچ، ای هیچ برای هیچ بر هیچ مپیچ》,Iran ☼𓃬,806.0,5214.0,3509.0,July 2022,1,1,1,2
aliam_es,ایی اِس,صبر   instagram.com/ecutfood/profi …,,4324.0,4447.0,1334.0,November 2021,1,2,1,2
_infogirl,🌻hopeful wanderer🌻,"books, music, travel, nature, art",,59.0,665.0,290.0,November 2021,0,2,1,2
akumafeelings,👹 AKUMA 👹,"eu minto muito bastante   (⁠◕⁠ᴗ⁠◕⁠✿⁠) mutual pra mim é irmã    ele/dele  filho do silêncio, da doença e da cura","Salvador, Brasil",5372.0,4139.0,1386.0,October 2016,0,2,1,2
alfirinmag52045,Magol Alfirin,I AM ...,,1.0,30.0,0.0,December 2025,2,2,2,2
aiyankarimi3312,A_K70,"When you are there, all doors open.",کرمانشاه,55.0,394.0,1300.0,April 2025,1,1,1,2
alivrd,Ali Vafaei Razdar,,,0.0,2.0,0.0,August 2025,0,2,1,2
alishiri272750,Ali Shiri,,tehran,0.0,5.0,0.0,July 2025,1,2,1,2
al3mlaa81,د/العملاق,د / العملاق ..,,,167.0,1386.0,November 2012,2,2,1,2
aishaabbas20560,Abbass Aisha,,,59.0,703.0,0.0,March 2025,0,2,1,2
abhistoria,Ahab Bdaiwi איהאבּ ܐܝܗܐܒ,"Assistant Professor in Islamic Philosophy & History, Leiden University| Series Editor, Islamic Thought & History| Editor in Chief, Taḥqīq Journal, Brill.",Leiden/London,,937.0,4281.0,July 2017,0,2,1,2
_dinken_,Ajmal Hussain A,It’s okay to get run over by a bus than never cross the road. I’m at least getting somewhere. Views and Opinions expressed are personal.,"Kollam, India",379.0,529.0,961.0,November 2012,0,2,1,2
alijan2056,Ali,,,8.0,73.0,4.0,November 2014,2,2,2,2
addyperry20,LilyPerry,Okay but... I’m kinda close to stunning?  Come say hi in DMs.,where the vibes are,510.0,3722.0,1567.0,May 2025,2,2,2,2
_uselessgothdm,Definitely Not a Mimic,@ useless_goth_thembo_ in Twitch chat | Avantris brainrot still going strong | D&D/RPG/TTRPG things | Maker and collector of many math rocks (dice) |,,19.0,124.0,36.0,June 2020,2,2,1,2
ahmad76905530,ahmad,,,40.0,706.0,8.0,January 2023,2,2,2,2
am2002rmost,Amir,,,14.0,252.0,0.0,March 2023,2,2,2,2
_nam11,Nathan,"@charltonlive  contributor  | Certified in  @FA  Talent ID &  @ThePFSA  Data Analytics, Oppo Scouting & Set-Pieces  | Living the dream",,4887.0,2796.0,,May 2010,0,2,0,2
afkari_saeed,سعید افکاری,آزادی,,,78.0,1273.0,August 2020,2,2,1,2
aliceparkny,Alice Park,"Health and medicine (and occasional Olympics) national correspondent for  @TIME . Author of The Stem Cell Hope, How Stem Cell Medicine Can Change Our Lives.",New York NY,,469.0,4818.0,March 2009,0,2,1,2
abkoga,A.B. Koga,SFF Author on Submission | Agent  @BookFairyAngus  | Doctor Husband and Dance Dad | Jiu Jitsu | Retired Gamer | Dark Academia WIP,Scottsdale,643.0,633.0,1953.0,September 2022,0,2,1,2
_sgtslaughter,SGT SLAUGHTER,"WWE Hall of Famer, WWE Ambassador & former World Heavyweight Champion. For bookings contact PVT Paul Incerto @ 203-256-0004.",,,107.0,6124.0,September 2010,0,2,1,2
aleaguewomen,Ninja A-League,"Official account of the Ninja A-League  Catch live game coverage, as well as news, ticketing and so much more here.",Australia,,2092.0,1356.0,August 2012,0,2,0,2
_hannahritchie,Hannah Ritchie,Deputy Editor  @OurWorldinData  / Researcher at  @UniofOxford  / Honorary Fellow at  @EdinburghUni  @EdCentreCC  / Not the End of the World:  amzn.to/3MdaOci,"Edinburgh, UK",,1337.0,7978.0,July 2014,0,2,1,2
afterpay_au,Afterpay,Don’t just pay later. #PayBetter Afterpay it in 4.,Australia,5939.0,521.0,964.0,July 2014,0,2,0,2
_sky_tw,spinoss,,,1.0,19.0,0.0,January 2023,2,2,2,2
adnanime,Animation Digital Network,"Evangelion, Utena, Sailor Moon... c'est Noël avant l'heure",Paris,,676.0,1315.0,September 2013,2,2,1,2
ahwazmedia,حسن راضي الأحوازي,مدير المركز الأحوازي للإعلام والدراسات الإستراتيجية/ باحث بالشان الايراني، معد ومقدم برنامج #ايران_زووم على قناة @سعودي24.. #الأحواز وطني,,5884.0,415.0,8467.0,April 2012,0,2,1,2
allipayam,Hani Allipayam,,,36.0,19.0,1.0,November 2017,2,2,2,2
ajbends,big boy synthetique,@issues  //  @badwolves  // FEWDFWM //,"Pasadena, CA",,1286.0,1350.0,December 2011,0,2,1,2
alisaberi1987,Alex,All religions are human made. Be free of them. Keep your humanity up and spread out kindness.,"Paris, France",469.0,1634.0,633.0,October 2021,0,2,1,2
altaf_awan12,Altaf K Awan,"Consultant Pancreaticobiliary, Obesity, Laparoscopic and Robotic Surgeon, UHDBTrust. Director of Education - Laparoscopic & Robotic surgery, ALSGBI.","Derby, England",1054.0,451.0,1803.0,November 2018,0,2,1,2
aliansari84,Ali Ansari,"Ph.D. graduate in Materials Science and Engineering, Interested in batteriesand electrochemistry, Posts in Persian and in English, Notifications are off.","Prague, Czech Republic",742.0,1928.0,1334.0,December 2013,0,2,1,2
alimotie1318,Parsi,"lran, land of Aryans and Everlasting Kingdom",,160.0,753.0,4588.0,June 2025,2,2,2,2
aesdigitallyart,Aes Digitally Art Prints,"Greetings! I'm Serdar. I'm the founder of this small shop, born from the question: 'Why shouldn't everyone have easy access to striking art pieces?",Turkey,29.0,333.0,32.0,November 2025,2,2,0,2
5thprisoner,زندانی پنجم,پیش ما بیا خوش میگذره,,6351.0,265.0,,July 2016,2,2,1,2
ali_koleini,paper_jean,,Islamic Republic of Iran,89.0,0.0,339.0,June 2020,2,2,2,2
ahmadrezae88890,ahmadreza emz,,,8.0,4.0,58.0,June 2024,2,2,2,2
_articlle_,お父さん,はむさんはこちら  @hamuppi_,,8556.0,803.0,780.0,August 2018,2,2,2,2
