username,display_name,description,location,followers_count,following_count,statuses_count,created_at,target_population,locals_vs_diaspora,person_vs_organization,iteration_added,description_en,display_name_en
a_s_v_t_r,حــزامـ,اللَّهُمَّ لَا تَدَع لي أمْراً إِلَّا يَسَّرَتْهُ وَلَا حُلْماً إِلَّا حَقَّقَتَهُ,ID52159146623,389.0,943.0,,May 2024,2,2,2,6,"Oh God, do not leave for me a matter without making it easy or a dream without making it come true.",Belt
ali_tavakoli_28,hopkinz,سر سری رد شو و زندگی کن.دقت دق ات میدهد.,shiraz_iran,90.0,128.0,1448.0,December 2012,1,1,1,6,Go ahead and live. Carefulness pays attention to you.,hopkinz
adryn848,آدرین,,,14.0,539.0,0.0,May 2024,2,2,2,6,,Adrienne
alexmarlow,Alex Marlow,"**BREAKING THE LAW** OUT NOW! 'The Alex Marlow Show,'  @BreitbartNews  EIC, 3x-NYT bestseller. “Alex knows it all.” -President Trump","Chappaquiddick, MA",,271.0,7396.0,January 2009,0,2,1,6,"**BREAKING THE LAW** OUT NOW! 'The Alex Marlow Show,'  @BreitbartNews  EIC, 3x-NYT bestseller. “Alex knows it all.” -President Trump",Alex Marlow
aaihs,AAIHS,AAIHS was founded to foster dialogue about #Black thought & culture. We publish the blog  @BlkPerspectives  (President:  @robgreeneII ):  bit.ly/2iEQ4uU,,,108.0,6145.0,May 2014,0,2,1,6,AAIHS was founded to foster dialogue about #Black thought & culture. We publish the blog  @BlkPerspectives  (President:  @robgreeneII ):  bit.ly/2iEQ4uU,AAIHS
abogadasmx,Abogadas MX,Red de Liderazgo y Desarrollo Profesional para abogadas en México.,Mexico,4618.0,839.0,3107.0,March 2015,0,2,0,6,Leadership and Professional Development Network for female lawyers in Mexico.,MX Lawyers
alirezasafarpo7,Alireza Safarpoor,AlirezaSFP,,7.0,122.0,77.0,August 2021,1,0,1,6,AlirezaSFP,Alireza Safarpoor
agolp,Armand Golpaygani,,"Paris, France",197.0,471.0,162.0,November 2009,0,2,1,6,,Armand Golpaygani
aji_fellowships,Allbritton Journalism Institute,,,1029.0,20.0,26.0,February 2023,0,2,0,6,,Allbritton Journalism Institute
alltyf_,طيف سامي,,,,11.0,234.0,October 2022,0,2,1,6,,Sublime spectrum
alimeelad94,Mohammed Ali,,The Netherlands,89.0,305.0,1916.0,October 2017,0,2,1,6,,Mohammed Ali
allanmau1992,Allan Mau,,,27.0,560.0,14.0,May 2024,0,2,1,6,,Allan Mau
